0,1,2
0009596-O1,6.9863,Ca1O1
0010079-O1,6.5707,O1Sr1
0009594-O1,5.6919,Ba1O1
0111542-O1,6.5007,La2O3
0289934-O2,6.7049,La2O3
0289934-O1,6.3604,La2O3
0289862-O2,6.6495,Ce2O3
0289862-O1,6.4062,Ce2O3
0289838-O1,3.5104,Ce1O2
0289729-O1,3.5519,Ca1Ce1O3
0290130-O2,5.1089,Ce1O3Sr1
0290130-O1,5.1286,Ce1O3Sr1
0290198-O2,5.4903,Ce1O4Sr2
0289614-O2,5.079,Ba1Ce1O3
0289614-O1,5.014,Ba1Ce1O3
0289949-O2,5.4163,Ce2La2O7
0289949-O1,4.4457,Ce2La2O7
icsd427481-O3,6.6203,Ba1La2O4
icsd427481-O2,6.4588,Ba1La2O4
icsd427481-O4,6.5091,Ba1La2O4
icsd427481-O1,6.5252,Ba1La2O4
icsd427482-O3,6.6828,Ba1Ce2O4
icsd427482-O2,6.5518,Ba1Ce2O4
icsd427482-O4,6.5635,Ba1Ce2O4
icsd427482-O1,6.8914,Ba1Ce2O4
0009494-O1,6.8115,Al2Mg1O4
0009540-O1,6.995,Al2O3
0009576-O1,6.995,Al2O3
0009889-O1,3.7275,In2O3
0009931-O1,4.4126,In2Mg1O4
0009973-O1,6.8887,Mg1O1
0010375-O2,5.4037,Ba1O3Ti1
0010375-O1,5.3369,Ba1O3Ti1
0010541-O1,5.396,O3Sr1Ti1
0010549-O1,4.9268,O2Ti1
0010720-O1,4.9636,O2Ti1
0010731-O1,5.9328,O2Ti1
0011764-O2,5.3669,O2Ti1
0011764-O1,4.9109,O2Ti1
0107269-O4,6.2954,Al2Ca1O4
0107269-O9,6.1267,Al2Ca1O4
0107269-O6,6.2966,Al2Ca1O4
0107269-O3,6.3263,Al2Ca1O4
0107269-O8,6.3068,Al2Ca1O4
0107269-O10,6.3209,Al2Ca1O4
0107269-O5,6.4336,Al2Ca1O4
0107269-O12,6.2817,Al2Ca1O4
0107269-O2,6.185,Al2Ca1O4
0107269-O11,6.3739,Al2Ca1O4
0107269-O7,6.2656,Al2Ca1O4
0107269-O1,6.4142,Al2Ca1O4
0107702-O3,6.2107,Al4Ca1O7
0107702-O2,6.3909,Al4Ca1O7
0107702-O4,6.7006,Al4Ca1O7
0107702-O1,6.2426,Al4Ca1O7
0107847-O3,6.6988,Al2Ca2O5
0107847-O2,6.5147,Al2Ca2O5
0107847-O1,6.0239,Al2Ca2O5
0107855-O6,6.2626,Al6Ca5O14
0107855-O3,6.3502,Al6Ca5O14
0107855-O5,6.5428,Al6Ca5O14
0107855-O2,6.1511,Al6Ca5O14
0107855-O4,6.5272,Al6Ca5O14
0107855-O7,6.1399,Al6Ca5O14
0107855-O1,6.6404,Al6Ca5O14
0107855-O9,6.3765,Al6Ca5O14
0107855-O8,6.1143,Al6Ca5O14
0108143-O6,6.1325,Al2Ba1O4
0108143-O3,6.1849,Al2Ba1O4
0108143-O5,6.0963,Al2Ba1O4
0108143-O2,6.1484,Al2Ba1O4
0108143-O4,6.1409,Al2Ba1O4
0108143-O1,6.1846,Al2Ba1O4
0108190-O2,6.129,Ba3O9Y4
0108190-O3,6.1053,Ba3O9Y4
0108190-O1,6.3296,Ba3O9Y4
0108321-O3,6.4249,Al2O5Ti1
0108321-O2,6.3778,Al2O5Ti1
0108321-O1,5.8592,Al2O5Ti1
0108427-O3,6.1625,Al4O7Sr1
0108427-O2,6.3726,Al4O7Sr1
0108427-O4,6.7311,Al4O7Sr1
0108427-O1,6.1601,Al4O7Sr1
0108446-O1,6.6039,Al5O12Y3
0108689-O2,5.1251,Al1O3Y1
0108689-O1,3.5762,Al1O3Y1
0108699-O5,6.0716,Ba1O9Ti4
0108699-O2,5.2112,Ba1O9Ti4
0108699-O4,5.3589,Ba1O9Ti4
0108699-O1,5.435,Ba1O9Ti4
0108927-O3,6.6636,Ba1O4Y2
0108927-O2,6.5873,Ba1O4Y2
0108927-O4,6.6262,Ba1O4Y2
0108927-O1,6.5688,Ba1O4Y2
0108933-O6,6.3343,Al2O4Sr1
0108933-O3,6.2372,Al2O4Sr1
0108933-O5,6.263,Al2O4Sr1
0108933-O2,6.2432,Al2O4Sr1
0108933-O4,6.3469,Al2O4Sr1
0108933-O7,6.2482,Al2O4Sr1
0108933-O1,6.2968,Al2O4Sr1
0108933-O8,6.2083,Al2O4Sr1
0109092-O6,6.1492,Al2O9Y4
0109092-O3,6.7059,Al2O9Y4
0109092-O5,6.3322,Al2O9Y4
0109092-O2,6.1876,Al2O9Y4
0109092-O4,6.7954,Al2O9Y4
0109092-O7,6.1696,Al2O9Y4
0109092-O1,6.1713,Al2O9Y4
0109092-O9,5.7929,Al2O9Y4
0109092-O8,6.2906,Al2O9Y4
0109333-O3,5.8221,Ba1O5Ti2
0109333-O5,5.5756,Ba1O5Ti2
0109333-O2,5.4485,Ba1O5Ti2
0109333-O4,6.0078,Ba1O5Ti2
0109333-O1,5.5111,Ba1O5Ti2
0109458-O6,5.4196,Ba4O30Ti13
0109458-O3,5.454,Ba4O30Ti13
0109458-O5,5.0833,Ba4O30Ti13
0109458-O2,5.5618,Ba4O30Ti13
0109458-O4,5.573,Ba4O30Ti13
0109458-O7,5.2835,Ba4O30Ti13
0109458-O1,5.8796,Ba4O30Ti13
0109458-O9,5.9937,Ba4O30Ti13
0109458-O8,5.0505,Ba4O30Ti13
0109668-O3,3.9393,In1O3Y1
0109668-O2,4.4242,In1O3Y1
0109668-O4,3.7667,In1O3Y1
0109668-O1,4.5724,In1O3Y1
0109684-O2,3.9611,Ba3In2O6
0109684-O1,3.6078,Ba3In2O6
0109710-O4,5.9078,Ca3O7Ti2
0109710-O2,5.7494,Ca3O7Ti2
0109710-O3,5.7714,Ca3O7Ti2
0109710-O1,5.5141,Ca3O7Ti2
0109770-O1,4.4374,Ca1In2O4
0110156-O3,4.1145,In2O5Ti1
0110156-O5,4.7203,In2O5Ti1
0110156-O2,4.0504,In2O5Ti1
0110156-O4,3.9906,In2O5Ti1
0110156-O1,4.4726,In2O5Ti1
0110270-O3,3.8089,In2O5Sr2
0110270-O2,3.2738,In2O5Sr2
0110270-O1,4.0388,In2O5Sr2
0110289-O3,3.5441,Ba2In2O5
0110289-O2,3.0675,Ba2In2O5
0110289-O1,3.8319,Ba2In2O5
0110733-O2,4.6469,In1La1O3
0110733-O1,4.7424,In1La1O3
0110854-O3,5.6119,La2O5Ti1
0110854-O5,5.9992,La2O5Ti1
0110854-O2,6.0535,La2O5Ti1
0110854-O4,6.7189,La2O5Ti1
0110854-O1,6.2634,La2O5Ti1
0111085-O2,5.7683,La4O12Ti3
0111085-O1,5.8879,La4O12Ti3
0111316-O3,4.2635,In2O4Sr1
0111316-O2,4.4839,In2O4Sr1
0111316-O4,4.3469,In2O4Sr1
0111316-O1,4.4539,In2O4Sr1
0111479-O3,5.4334,O7Sr3Ti2
0111479-O2,5.393,O7Sr3Ti2
0111479-O1,5.1173,O7Sr3Ti2
0111508-O2,6.5344,La1O3Y1
0111508-O1,6.6611,La1O3Y1
0111567-O6,5.7906,La2O7Ti2
0111567-O3,5.684,La2O7Ti2
0111567-O11,5.8706,La2O7Ti2
0111567-O10,5.7207,La2O7Ti2
0111567-O12,6.1468,La2O7Ti2
0111567-O13,5.5873,La2O7Ti2
0111567-O9,6.2802,La2O7Ti2
0111567-O1,5.9762,La2O7Ti2
0111567-O7,6.0004,La2O7Ti2
0111567-O4,5.7062,La2O7Ti2
0111567-O2,5.71,La2O7Ti2
0111567-O5,5.7495,La2O7Ti2
0111567-O14,5.9513,La2O7Ti2
0111567-O8,5.9466,La2O7Ti2
0111982-O3,6.6705,O4Sr1Y2
0111982-O2,6.6208,O4Sr1Y2
0111982-O4,6.6572,O4Sr1Y2
0111982-O1,6.6199,O4Sr1Y2
0112035-O2,6.9369,O7Ti2Y2
0112035-O1,5.5218,O7Ti2Y2
0112334-O3,5.8786,O5Ti1Y2
0112334-O5,5.658,O5Ti1Y2
0112334-O2,6.2371,O5Ti1Y2
0112334-O4,6.1246,O5Ti1Y2
0112334-O1,6.5839,O5Ti1Y2
0126437-O2,6.2767,Mg4Nb2O9
0126437-O1,5.7126,Mg4Nb2O9
0133995-O3,5.3742,Ba1Nb2O6
0133995-O2,5.4784,Ba1Nb2O6
0133995-O1,5.2003,Ba1Nb2O6
0143911-O3,6.198,La3Nb1O7
0143911-O2,5.9297,La3Nb1O7
0143911-O4,6.0716,La3Nb1O7
0143911-O1,6.0688,La3Nb1O7
0144307-O3,5.892,Mg1Nb2O6
0144307-O2,5.7976,Mg1Nb2O6
0144307-O1,5.5587,Mg1Nb2O6
0151582-O3,6.3338,Al1Nb1O4
0151582-O2,5.9759,Al1Nb1O4
0151582-O4,5.6034,Al1Nb1O4
0151582-O1,5.8591,Al1Nb1O4
0176585-O2,4.8115,In1Nb1O4
0176585-O1,4.5288,In1Nb1O4
0182299-O2,5.4155,Nb2O9Sr4
0182299-O1,5.703,Nb2O9Sr4
0195961-O6,4.8533,Nb6O16Sr1
0195961-O3,4.7454,Nb6O16Sr1
0195961-O5,4.3269,Nb6O16Sr1
0195961-O2,4.6596,Nb6O16Sr1
0195961-O4,4.1013,Nb6O16Sr1
0195961-O7,4.702,Nb6O16Sr1
0195961-O1,4.6238,Nb6O16Sr1
0195961-O9,4.9616,Nb6O16Sr1
0195961-O10,5.0872,Nb6O16Sr1
0195961-O8,4.6576,Nb6O16Sr1
0289663-O3,6.0536,Ba2O4Ti1
0289663-O2,6.0973,Ba2O4Ti1
0289663-O4,6.0113,Ba2O4Ti1
0289663-O1,5.959,Ba2O4Ti1
0289691-O3,5.0921,Ba5Nb4O15
0289691-O2,5.7478,Ba5Nb4O15
0289691-O1,5.8946,Ba5Nb4O15
0289774-O2,5.7707,Ca1O3Ti1
0289774-O1,5.7061,Ca1O3Ti1
0289796-O7,5.0731,Ca2Nb2O7
0289796-O4,5.992,Ca2Nb2O7
0289796-O12,5.63,Ca2Nb2O7
0289796-O13,5.9201,Ca2Nb2O7
0289796-O9,5.6139,Ca2Nb2O7
0289796-O1,5.8217,Ca2Nb2O7
0289796-O11,5.9013,Ca2Nb2O7
0289796-O2,5.4937,Ca2Nb2O7
0289796-O10,5.4299,Ca2Nb2O7
0289796-O5,5.8171,Ca2Nb2O7
0289796-O8,5.868,Ca2Nb2O7
0289796-O3,5.8376,Ca2Nb2O7
0289796-O6,5.8336,Ca2Nb2O7
0289796-O14,5.5554,Ca2Nb2O7
0289832-O2,6.5135,Al1Ce1O3
0289832-O1,6.424,Al1Ce1O3
0289874-O1,6.451,Al1La1O3
0289885-O2,5.884,La1Nb1O4
0289885-O1,5.6119,La1Nb1O4
0289952-O2,1.2091,Ce1Mg1O3
0289952-O1,1.347,Ce1Mg1O3
0290005-O1,6.0449,Mg1O3Ti1
0290062-O2,6.3815,Mg2O4Ti1
0290062-O1,6.2145,Mg2O4Ti1
0290080-O3,6.2716,Mg1O5Ti2
0290080-O2,5.5099,Mg1O5Ti2
0290080-O1,5.6623,Mg1O5Ti2
0290102-O3,5.8008,Nb2O5
0290102-O2,4.7876,Nb2O5
0290102-O1,5.3318,Nb2O5
0290125-O3,4.3313,Nb2O5
0290125-O2,5.3219,Nb2O5
0290125-O1,5.8598,Nb2O5
0290206-O2,5.3384,O4Sr2Ti1
0290206-O1,5.5107,O4Sr2Ti1
0290243-O11,5.8118,Nb2O7Sr2
0290243-O14,5.7709,Nb2O7Sr2
0290243-O10,5.5471,Nb2O7Sr2
0290243-O12,5.5958,Nb2O7Sr2
0290243-O13,5.6843,Nb2O7Sr2
0290243-O9,5.4793,Nb2O7Sr2
0290243-O1,5.731,Nb2O7Sr2
0290243-O7,5.2334,Nb2O7Sr2
0290243-O4,5.8478,Nb2O7Sr2
0290243-O2,5.4724,Nb2O7Sr2
0290243-O5,5.6802,Nb2O7Sr2
0290243-O3,5.5227,Nb2O7Sr2
0290243-O6,5.6932,Nb2O7Sr2
0290243-O8,5.7292,Nb2O7Sr2
0290296-O1,6.5735,O3Y2
