split_type,fold,train_loss,test_loss
split_by_elements,Na,0.32737291791145745,0.5248755053757875
split_by_elements,B,0.32764013181502366,0.4684759946916834
split_by_elements,Ta,0.3187445629372854,0.9228410001189065
split_by_elements,Cd,0.30606912768761063,0.679465317356903
split_by_elements,Ni,0.31776797461222844,0.7283587091498904
split_by_elements,Be,0.3177296733420109,0.4284307789969278
split_by_elements,Au,0.3153683415092238,0.49077820416652795
split_by_elements,Pd,0.3261058364158191,1.5185795447656087
split_by_elements,Li,0.3296977147551242,0.7541087466517306
split_by_elements,Ga,0.3171159122453159,0.6144653899916287
split_by_elements,Si,0.32756512046581004,0.33482515629223936
split_by_elements,Pt,0.32357478503900255,2.2813079180036273
split_by_elements,Al,0.3162442020275576,0.45183661033709843
split_by_elements,Pb,0.3179394287688217,0.6288775461725891
split_by_elements,Sc,0.31916177885585495,0.4114522963515983
split_by_elements,Cr,0.31286830207449934,0.3835337944328785
split_by_elements,Hf,0.31798620719566284,1.0806789607027152
split_by_elements,Tl,0.3076325454849337,0.5345871918792025
split_by_elements,Hg,0.3167491500352123,1.3526361986346866
split_by_elements,Zn,0.3105130652751443,0.5315975909792511
split_by_elements,Re,0.32186735965131863,1.0116095847271858
split_by_elements,Zr,0.33695228586062764,0.49907656528982697
split_by_elements,Sr,0.3259221895146428,0.7557776130272752
split_by_elements,Ge,0.3205599203816672,0.6682738531651963
split_by_elements,Mn,0.31266956385162764,0.6319124574969415
split_by_elements,Sn,0.3150642087766717,0.6592321462720354
split_by_elements,Cu,0.3197579001270697,0.7550373841554691
split_by_elements,Nb,0.3089094036632684,0.7706755203943626
split_by_elements,As,0.31596106418273734,0.6739413130814862
split_by_elements,Ba,0.30847196487448203,0.6852238425527869
split_by_elements,V,0.3233571808798619,0.40873287925644525
split_by_elements,Bi,0.32152452799028874,0.6264592088798788
split_by_elements,Fe,0.31104463967322105,0.6537363128092304
split_by_elements,Ce,0.3166798379544682,1.1823760287402427
split_by_elements,Mo,0.31577995032623585,1.2177153188606789
split_by_elements,Mg,0.31133815932797304,0.4535754433492335
split_by_elements,W,0.3370474539143651,0.6005303183598305
split_by_elements,Ag,0.3040301236701197,0.9826671553624643
split_by_elements,Y,0.3128657703041381,0.4675282905659368
split_by_elements,Rb,0.3189241169921133,0.3752251321619207
split_by_elements,In,0.3196870901921032,0.6732348582279757
split_by_elements,Ti,0.3182583991855594,0.3868626787548973
split_by_elements,Co,0.31775696112924584,0.8452678977707286
split_by_elements,Cs,0.32339070256036573,0.4880989616388803
split_by_elements,Sb,0.32168617479146316,0.6665454989705006
split_by_elements,La,0.3178337797485634,0.5367328745529326
split_by_elements,K,0.3218457607632598,0.47399291243866415
split_by_elements,Ca,0.3237086300460517,0.6294994591918059
